가격,등급,용량,모델명
430000,S급,128GB,아이폰13미니
170000,S급,128GB,아이폰SE2
180000,S급,64GB,아이폰8
510000,S급,128GB,아이폰13
960000,S급,256GB,아이폰14프로
270000,A급,256GB,아이폰X
340000,S급,128GB,아이폰12미니
260000,S급,64GB,아이폰11
1300000,S급,512GB,아이폰13프로
340000,S급,64GB,아이폰XS맥스
270000,S급,64GB,아이폰12미니
170000,B급,128GB,아이폰7플러스
660000,S급,128GB,아이폰13
340000,A급,128GB,아이폰12
490000,A급,128GB,아이폰13
270000,B급,128GB,아이폰12미니
420000,A급,128GB,아이폰13미니
330000,B급,256GB,아이폰11프로
290000,A급,256GB,아이폰xs맥스
320000,A급,64GB,아이폰12
750000,A급,256GB,아이폰13프로
890000,S급,128GB,아이폰14프로
750000,A급,256GB,아이폰13프로
190000,A급,128GB,아이폰xr
1350000,B급,256GB,아이폰15프로
1100000,B급,256GB,아이폰14프로맥스
1280000,S급,128GB,아이폰15프로
1360000,S급,256GB,아이폰15프로
1350000,S급,256GB,아이폰15프로
270000,A급,128GB,아이폰12미니
240000,S급,256GB,아이폰8플러스
500000,B급,128GB,아이폰13
300000,B급,128GB,아이폰13미니
348000,S급,256GB,아이폰11프로맥스
490000,B급,128GB,아이폰12
1350000,S급,256GB,아이폰15프로
768000,S급,256GB,아이폰13
230000,B급,128GB,아이폰12미니
350000,B급,512GB,아이폰XS
1250000,B급,256GB,아이폰15프로
1750000,B급,512GB,아이폰15프로
1240000,S급,128GB,아이폰15프로
40000,B급,16GB,아이폰5S
1450000,B급,128GB,아이폰14프로
1720000,S급,256GB,아이폰15프로맥스
85000,B급,64GB,아이폰SE2
450000,B급,256GB,아이폰XS
800000,B급,256GB,아이폰15
350000,B급,256GB,아이폰11프로
280000,B급,64GB,아이폰12미니
90000,B급,128GB,아이폰SE2
1150000,B급,128GB,아이폰15프로
950000,B급,512GB,아이폰14프로맥스
200000,B급,64GB,아이폰12미니
280000,B급,64GB,아이폰12
480000,A급,256GB,아이폰13미니
280000,B급,128GB,아이폰12
100000,B급,16GB,아이폰5S
400000,B급,256GB,아이폰12프로
350000,A급,128GB,아이폰12
380000,S급,32GB,아이폰SE
150000,B급,128GB,아이폰SE2
280000,A급,128GB,아이폰SE3
170000,A급,128GB,아이폰SE2
100000,B급,64GB,아이폰6
200000,B급,64GB,아이폰12미니
380000,B급,128GB,아이폰13미니
700000,S급,256GB,아이폰14
305000,B급,128GB,아이폰SE3
850000,S급,128GB,아이폰15
230000,B급,256GB,아이폰12
860000,B급,256GB,아이폰14프로
1000000,B급,256GB,아이폰14프로
1040000,S급,256GB,아이폰15
450000,B급,256GB,아이폰13미니
400000,B급,256GB,아이폰13미니
328000,A급,64GB,아이폰12
760000,S급,128GB,아이폰14플러스
130000,B급,32GB,아이폰5
1150000,S급,512GB,아이폰14프로
950000,B급,256GB,아이폰15
700000,S급,128GB,아이폰14플러스
390000,B급,128GB,아이폰12프로
680000,S급,128GB,아이폰13
470000,B급,256GB,아이폰12프로
550000,S급,128GB,아이폰13미니
1100000,B급,128GB,아이폰14프로
420000,A급,128GB,아이폰13미니
410000,B급,256GB,아이폰11프로맥스
480000,A급,256GB,아이폰13미니
360000,B급,128GB,아이폰13미니
250000,B급,128GB,아이폰12
350000,B급,128GB,아이폰12미니
1100000,B급,512GB,아이폰14프로
280000,B급,128GB,아이폰12
200000,A급,64GB,아이폰SE2
85000,B급,16GB,아이폰5S
85000,S급,16GB,아이폰5S
155000,B급,64GB,아이폰8
1340000,S급,256GB,아이폰15프로
240000,B급,128GB,아이폰SE
190000,A급,128GB,아이폰xr
750000,A급,256GB,아이폰13프로
420000,A급,128GB,아이폰13미니
240000,A급,64GB,아이폰12미니
280000,A급,64GB,아이폰11
330000,B급,256GB,아이폰11프로
240000,B급,128GB,아이폰SE
860000,B급,128GB,아이폰14프로
80000,B급,64GB,아이폰12
300000,B급,256GB,아이폰XS
230000,B급,16GB,아이폰5S
850000,B급,128GB,아이폰14프로
230000,B급,32GB,아이폰4s
170000,A급,64GB,아이폰8
1350000,B급,256GB,아이폰15프로맥스
260000,A급,64GB,아이폰12미니
190000,S급,256GB,아이폰7플러스
850000,B급,1TB,아이폰13프로프로
170000,S급,128GB,아이폰7플러스
490000,S급,128GB,아이폰12프로
420000,B급,512GB,아이폰12프로
440000,B급,128GB,아이폰13미니
1100000,S급,1TB,아이폰14프로
1550000,B급,256GB,아이폰15프로맥스
280000,S급,128GB,아이폰12미니
360000,S급,128GB,아이폰12미니
290000,B급,64GB,아이폰11프로
160000,S급,64GB,아이폰12미니
420000,A급,128GB,아이폰13미니
1150000,B급,256GB,아이폰14프로
80000,B급,64GB,아이폰XS
425000,B급,128GB,아이폰12프로
700000,B급,128GB,아이폰15
210000,S급,128GB,아이폰6s
200000,B급,128GB,아이폰xr
560000,B급,256GB,아이폰13
950000,S급,128GB,아이폰15
1600000,B급,256GB,아이폰15프로맥스
300000,B급,128GB,아이폰12
155000,B급,128GB,아이폰7
240000,B급,64GB,아이폰SE3
300000,B급,256GB,아이폰8
1400000,B급,256GB,아이폰15프로
500000,B급,128GB,아이폰13
870000,B급,256GB,아이폰14프로
1000000,B급,256GB,아이폰15프로
140000,S급,32GB,아이폰7
130000,S급,32GB,아이폰7
960000,B급,256GB,아이폰14프로
1300000,S급,128GB,아이폰15프로
850000,B급,128GB,아이폰15
1300000,B급,256GB,아이폰15
450000,S급,512GB,아이폰12프로
1550000,S급,256GB,아이폰15프로맥스
1300000,B급,256GB,아이폰15
100000,B급,16GB,아이폰6s
280000,B급,128GB,아이폰SE
910000,B급,256GB,아이폰14프로
190000,A급,128GB,아이폰XR
530000,B급,512GB,아이폰12프로
240000,B급,64GB,아이폰SE3
110000,B급,64GB,아이폰6s
440000,B급,256GB,아이폰13미니
220000,S급,256GB,아이폰8
110000,S급,64GB,아이폰6
1500000,B급,256GB,아이폰15프로맥스
220000,B급,64GB,아이폰SE3
200000,B급,128GB,아이폰12미니
650000,B급,128GB,아이폰13프로
220000,B급,64GB,아이폰SE3
220000,B급,64GB,아이폰12미니
220000,B급,64GB,아이폰12미니
250000,A급,64GB,아이폰12미니
210000,A급,64GB,아이폰XR
470000,S급,256GB,아이폰11프로
90000,S급,16GB,아이폰6
230000,B급,64GB,아이폰12미니
220000,B급,128GB,아이폰12미니
100000,S급,16GB,아이폰6
280000,B급,128GB,아이폰12
250000,A급,64GB,아이폰12미니
280000,B급,128GB,아이폰12미니
490000,B급,128GB,아이폰14
230000,A급,64GB,아이폰12미니
380000,A급,64GB,아이폰11프로
500000,A급,128GB,아이폰13
340000,A급,128GB,아이폰12
340000,S급,128GB,아이폰12
320000,B급,128GB,아이폰12
110000,B급,128GB,아이폰7플러스
450000,B급,128GB,아이폰13
230000,B급,64GB,아이폰12미니
120000,B급,128GB,아이폰7플러스
380000,B급,256GB,아이폰11프로맥스
380000,A급,128GB,아이폰13미니
620000,A급,128GB,아이폰14
600000,A급,128GB,아이폰14
200000,B급,64GB,아이폰12미니
220000,B급,128GB,아이폰11
680000,B급,256GB,아이폰13
400000,B급,256GB,아이폰12프로
280000,A급,128GB,아이폰SE3
440000,B급,256GB,아이폰13미니
265000,B급,256GB,아이폰XS
440000,B급,256GB,아이폰13미니
1190000,B급,1TB,아이폰14프로
340000,B급,256GB,아이폰11프로
300000,B급,256GB,아이폰11프로맥스
800000,B급,128GB,아이폰13프로맥스
800000,S급,256GB,아이폰14
250000,B급,64GB,아이폰12미니
580000,A급,128GB,아이폰14
410000,B급,256GB,아이폰11프로맥스
280000,S급,64GB,아이폰SE
280000,B급,64GB,아이폰12
140000,B급,64GB,아이폰11
170000,S급,128GB,아이폰6s
920000,S급,256GB,아이폰14프로
350000,A급,128GB,아이폰12
240000,B급,64GB,아이폰SE3
430000,B급,256GB,아이폰12프로
150000,B급,128GB,아이폰12프로
